filter,dist,n,target_fpr,neg_share,workload,threads,load_factor,fp_bits,ops,warmup_ops,rep,run,achieved_fpr,bpe,ops_per_s,p50,p95,p99,p50_ns,p95_ns,p99_ns,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003616,26.8435,14088240.0,134ns,150ns,292ns,134.0,150.0,292.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003616,26.8435,12234730.0,136ns,277ns,329ns,136.0,277.0,329.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003616,26.8435,14007300.0,134ns,150ns,305ns,134.0,150.0,305.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000228,26.8435,14021190.0,134ns,152ns,307ns,134.0,152.0,307.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000228,26.8435,13975190.0,133ns,153ns,308ns,133.0,153.0,308.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000228,26.8435,14031490.0,134ns,152ns,286ns,134.0,152.0,286.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.42e-05,26.8435,13950670.0,136ns,161ns,301ns,136.0,161.0,301.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.42e-05,26.8435,13873630.0,135ns,155ns,307ns,135.0,155.0,307.0,,,,,,
xor,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.42e-05,26.8435,13887650.0,134ns,153ns,314ns,134.0,153.0,314.0,,,,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0184116,26.8435,7879337.0,60ns,284ns,313ns,60.0,284.0,313.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0184116,26.8435,7746841.0,63ns,286ns,322ns,63.0,286.0,322.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0184116,26.8435,8364665.0,73ns,255ns,308ns,73.0,255.0,308.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011874,26.8435,7895872.0,59ns,285ns,313ns,59.0,285.0,313.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011874,26.8435,7840100.0,86ns,284ns,309ns,86.0,284.0,309.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011874,26.8435,7882314.0,61ns,285ns,324ns,61.0,285.0,324.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.34e-05,26.8435,7785838.0,69ns,286ns,321ns,69.0,286.0,321.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.34e-05,26.8435,8308616.0,128ns,249ns,315ns,128.0,249.0,315.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.34e-05,26.8435,7774919.0,119ns,285ns,314ns,119.0,285.0,314.0,0.0,0.0,0.0,,,
quotient,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0095398,41.943,9208741.0,126ns,215ns,306ns,126.0,215.0,306.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0095398,41.943,9203619.0,121ns,202ns,308ns,121.0,202.0,308.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0095398,41.943,9135126.0,130ns,207ns,283ns,130.0,207.0,283.0,,,,0.0,0.0,0.0
bloom,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0459064,13.4218,13061460.0,39ns,144ns,212ns,39.0,144.0,212.0,,,,,,
bloom,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0459064,13.4218,13085730.0,37ns,139ns,224ns,37.0,139.0,224.0,,,,,,
bloom,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0459064,13.4218,12934690.0,37ns,142ns,219ns,37.0,142.0,219.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003616,26.8435,13964620.0,135ns,151ns,303ns,135.0,151.0,303.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003616,26.8435,13972470.0,134ns,157ns,306ns,134.0,157.0,306.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003616,26.8435,13977140.0,134ns,154ns,317ns,134.0,154.0,317.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000228,26.8435,14026510.0,133ns,151ns,310ns,133.0,151.0,310.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000228,26.8435,13896500.0,134ns,159ns,292ns,134.0,159.0,292.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000228,26.8435,13926690.0,134ns,151ns,306ns,134.0,151.0,306.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.42e-05,26.8435,13970800.0,134ns,154ns,302ns,134.0,154.0,302.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.42e-05,26.8435,13938290.0,136ns,155ns,300ns,136.0,155.0,300.0,,,,,,
xor,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.42e-05,26.8435,13950010.0,134ns,152ns,304ns,134.0,152.0,304.0,,,,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0184116,26.8435,7884252.0,59ns,282ns,314ns,59.0,282.0,314.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0184116,26.8435,7994266.0,76ns,281ns,319ns,76.0,281.0,319.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0184116,26.8435,7895775.0,67ns,282ns,322ns,67.0,282.0,322.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011874,26.8435,7774458.0,72ns,285ns,318ns,72.0,285.0,318.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011874,26.8435,8118189.0,133ns,277ns,307ns,133.0,277.0,307.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011874,26.8435,7579409.0,129ns,289ns,327ns,129.0,289.0,327.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.34e-05,26.8435,8186612.0,66ns,276ns,311ns,66.0,276.0,311.0,0.0,0.0,0.0,,,
